id,region,country_id,country
1,All / All,[118],['Mauritius']
2,Cocoa growing regions / Belém and the metropolitan area,[26],['Brazil']
3,Cocoa growing regions / East Rondônia,[26],['Brazil']
4,Cocoa growing regions / South Bahia,[26],['Brazil']
5,Cocoa growing regions / Southeast Pará,[26],['Brazil']
6,Cocoa growing regions / Southwest Pará,[26],['Brazil']
7,Coffee growing regions / Triângulo Mineiro/Alto Paranaíba,[26],['Brazil']
8,Coffee growing regions / Zona da Mata mineira,[26],['Brazil']
9,Coffee or Cocoa growing regions / Northwest Espírito Santo,[26],['Brazil']
10,Municipality of Ensenada / Baja California,[119],['Mexico']
11,Municipality of San Quintín / Baja California,[119],['Mexico']
12,Non-Metropolitan Urban / All,"[39, 7]","['Chile', 'Argentina']"
13,Non-Metropolitan Urban / Ziway Region,[62],['Ethiopia']
14,"Non-metropolitan / State of São Paulo, non-metropolitan areas",[26],['Brazil']
15,"Non-metropolitan Urban & Rural / Michoacán, northwestern regions",[119],['Mexico']
16,Non-metropolitan Urban / Lake Naivasha,[95],['Kenya']
17,Peri-Urban / Lower Volta Region,[71],['Ghana']
18,Rural / All,"[129, 7, 135, 142, 143, 145, 19, 153, 30, 34, 38, 46, 179, 181, 182, 56, 57, 185, 186, 67, 202, 203, 80, 101, 110, 124, 125]","['Zambia', 'El Salvador', 'Nigeria', 'Tanzania', 'Egypt, Arab Rep.', 'Tunisia', 'Togo', 'Nepal', 'Peru', 'Timor-Leste', 'Cameroon', 'Papua New Guinea', 'Rwanda', 'Argentina', 'Belize', ""Cote d'Ivoire"", 'Gabon', 'Honduras', 'Zimbabwe', 'Chad', 'Madagascar', 'Morocco', 'Panama', 'Mozambique', 'Lao PDR', 'Burkina Faso', 'Turkiye']"
19,Rural / All/ Congo Kinshasa,[43],"['Congo, Dem. Rep.']"
20,Rural / Andhra Pradesh,[84],['India']
21,"Rural / Bhadohi, Uttar Pradesh",[84],['India']
22,Rural / Central Sulawesi,[85],['Indonesia']
23,Rural / Central Valley Area,[75],['Guatemala']
24,Rural / Cocoa growing areas,[46],"[""Cote d'Ivoire""]"
25,"Rural / Cocoa growing areas of Ashanti, Central, Eastern, Western Regions",[71],['Ghana']
26,Rural / Congo/Congo Brazzaville,[44],"['Congo, Rep.']"
27,Rural / Economic Zone 4,[199],['Vietnam']
28,Rural / Estate Sector,[170],['Sri Lanka']
29,Rural / Ilocos Sur Province,[146],['Philippines']
30,Rural / Kericho,[95],['Kenya']
31,Rural / Khyber Pakhtunkhwa (KP),[140],['Pakistan']
32,Rural / Lake Victoria Basin,[190],['Uganda']
33,Rural / Limón and Heredia Provinces,[45],['Costa Rica']
34,Rural / Madhya Pradesh/Chhindwara District,[84],['India']
35,Rural / Madhya Pradesh/Ratlam District,[84],['India']
36,Rural / Minimum Wage Region 4,[199],['Vietnam']
37,Rural / Northern Region,[54],['Dominican Republic']
38,Rural / Rural Aceh,[85],['Indonesia']
39,Rural / Rural Areas and Small Towns,[41],['Colombia']
40,Rural / Rural Lampung Province,[85],['Indonesia']
41,"Rural / Rural Nilgiris, Tamil Nadu",[84],['India']
42,"Rural / Rural Rembang, Central Java",[85],['Indonesia']
43,Rural / Sialkot,[140],['Pakistan']
44,Rural / Southern Coastal Region,[55],['Ecuador']
45,Rural / Southern Region,[111],['Malawi']
46,Rural / Western Cape Province,[167],['South Africa']
47,Rural / coffee-producing households in Cuanza Sul province,[5],['Angola']
48,Rural / coffee-producing households in the Wawa prefecture,[182],['Togo']
49,Rural / coffee-producing households in the Western province,[153],['Rwanda']
50,Rural Areas and Small Towns / All coffee and cocoa growing regions,[145],['Peru']
51,Rural Areas and Small Towns / Cajamarca,[145],['Peru']
52,Rural Areas and Small Towns / Cusco,[145],['Peru']
53,Rural Areas and Small Towns / Junín,[145],['Peru']
54,Rural Areas and Small Towns / Rural Areas and Small Towns of Nayarit,[119],['Mexico']
55,Rural Areas and Small Towns / Rural coffee and cocoa growing regions,[145],['Peru']
56,Rural Areas and Small Towns / San Martín,[145],['Peru']
57,Rural Guji zone / Oromia Region,[62],['Ethiopia']
58,"Rural coffee-growing regions / Comayagua, Copán, and El Paraíso",[80],['Honduras']
59,Rural-Urban / Northwest,[133],['Nicaragua']
60,Urban /,[75],['Guatemala']
61,Urban / All,"[33, 34, 67, 170, 80, 179, 180, 182, 57, 186, 93]","['Gabon', 'Honduras', 'Cameroon', 'El Salvador', 'Jordan', 'Sri Lanka', 'Tanzania', 'Thailand', 'Turkiye', 'Togo', 'Cambodia']"
62,Urban / Chengdu,[40],['China']
63,Urban / Dhaka City,[15],['Bangladesh']
64,Urban / Hangzhou,[40],['China']
65,Urban / Ho Chi Minh City,[199],['Vietnam']
66,Urban / Managua Free Trade Zone,[133],['Nicaragua']
67,Urban / Minas Gerais South/Southwestern Region,[26],['Brazil']
68,Urban / Minimum Wage Region 1,[199],['Vietnam']
69,Urban / Minimum Wage Region 2,[199],['Vietnam']
70,Urban / Minimum Wage Region 3,[199],['Vietnam']
71,Urban / Santo Domingo,[54],['Dominican Republic']
72,Urban / Satellite Cities,[15],['Bangladesh']
73,Urban / Shanghai,[40],['China']
74,Urban / Shenzhen,[40],['China']
75,Urban / Sialkot,[140],['Pakistan']
76,Urban / Suzhou,[40],['China']
77,"Urban / Tiruppur, Tamil Nadu",[84],['India']
78,Urban / Urban Banten Province,[85],['Indonesia']
79,Urban / Urban Guatemala,[75],['Guatemala']
80,Urban / Urban West Java Province (SUBANG AND GARUT),[85],['Indonesia']
81,Urban / Zhengzhou,[40],['China']
