id,category_id,label,description
1,1,Step 1. Internal analysis,
2,1,Step 2. External analysis,
3,1,Step 3. Strategic choices,
4,1,Step 4. Implementation,
5,2,1. Longer-term purchasing agreements,
6,2,2. Improved payment terms and higher (farmgate) prices),
7,2,3. Develop and deepen equitable supply chain relationships,
8,2,4. Improve efficiency and enhance transparency,
9,2,5. Reduce volatility and risk for farmers,
10,3,Farmer,
11,3,Manufacturer/ Processor,
12,3,Primary/ Secondary Processor,
13,3,Retailer,
14,3,Trader,
